"Story","Title","Result","Date","Stability","Duration (s)"
"Registro para nuevos usuarios","Registro exitoso de nuevo usuario","SUCCESS","2022-03-21T18:55:43.5114349-05:00[America/Bogota]","0.0","11.57"
"Registro para nuevos usuarios","Registro fallido de nuevo usuario cuando la contrasena y su campo de confirmacion no coinciden","SUCCESS","2022-03-21T18:55:55.1285048-05:00[America/Bogota]","0.0","10.65"
