"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de sesion para clientes","Inicio de sesion exitoso","SUCCESS","2022-03-21T18:56:29.8506677-05:00[America/Bogota]","0.0","10.47"
"Inicio de sesion para clientes","Inicio de sesion fallido por contrasena incorrecta","SUCCESS","2022-03-21T18:56:40.3473273-05:00[America/Bogota]","0.0","10.74"
